+------+---------------+------------+-----------+------------+-------+----------+----------+
| id   | goods_code    | stock_nums | date_nums | add_date   | state | store_id | goods_id |
+------+---------------+------------+-----------+------------+-------+----------+----------+
| 1272 | 6917790005303 |          2 |       149 | 2022-04-15 |     1 |        3 |    15872 |
| 1329 | 6917878063041 |          1 |       136 | 2022-04-16 |     1 |        3 |    26117 |
| 1335 | 6920143501018 |          1 |       165 | 2022-04-16 |     1 |        3 |    18600 |
| 1340 | 6921171600223 |          3 |       147 | 2022-04-16 |     1 |        3 |    16058 |
| 1351 | 6948960109309 |          3 |       171 | 2022-04-18 |     1 |        3 |    16514 |
| 1404 | 6941055188401 |          5 |       118 | 2022-06-28 |     1 |        3 |    38807 |
| 1407 | 6951592317011 |          2 |        83 | 2022-06-28 |     1 |        3 |    22190 |
| 1405 | 6941055188043 |          2 |       118 | 2022-06-28 |     1 |        3 |    42069 |
| 1403 | 6931798813463 |          3 |       118 | 2022-06-28 |     1 |        3 |    30261 |
| 1402 | 6941055188388 |          3 |       107 | 2022-06-28 |     1 |        3 |    40316 |
| 1400 | 6936158286031 |          1 |        78 | 2022-06-28 |     1 |        3 |    43112 |
| 1396 | 8936094346071 |          3 |       110 | 2022-06-28 |     1 |        3 |    22059 |
| 1401 | 6941447565360 |          4 |       139 | 2022-06-28 |     1 |        3 |    24979 |
| 1393 | 6956511921300 |          4 |       102 | 2022-06-28 |     1 |        3 |    21026 |
| 1392 | 6956511901821 |          2 |       102 | 2022-06-28 |     1 |        3 |    21769 |
| 1391 | 6956511907908 |          1 |       116 | 2022-06-28 |     1 |        3 |    22233 |
| 1408 | 6924187858084 |          8 |        45 | 2022-07-01 |     1 |        1 |    24060 |
| 1423 | 6935710117714 |          7 |        68 | 2022-07-03 |     1 |        3 |    41622 |
| 1424 | 6935710117721 |          2 |        68 | 2022-07-03 |     1 |        3 |    41621 |
| 1425 | 6911988013569 |          3 |        65 | 2022-07-03 |     1 |        3 |    41195 |
| 1427 | 6914973105379 |          3 |        75 | 2022-07-03 |     1 |        3 |    19417 |
| 1428 | 2944974105386 |          7 |        63 | 2022-07-03 |     1 |        3 |    43369 |----
| 1431 | 6923450669570 |          4 |        80 | 2022-07-03 |     1 |        3 |    41983 |
| 1433 | 6914973601536 |          2 |        80 | 2022-07-03 |     1 |        3 |    19416 |
| 1435 | 6914973607255 |          5 |        97 | 2022-07-03 |     1 |        3 |    16079 |
| 1437 | 6914973606388 |         12 |        95 | 2022-07-03 |     1 |        3 |    19438 |
| 1426 | 6911988013538 |          2 |       117 | 2022-07-03 |     1 |        3 |    41196 |
| 1409 | 6924743926639 |          3 |        93 | 2022-07-03 |     1 |        3 |    38582 |
| 1422 | 6911988009760 |          5 |        72 | 2022-07-03 |     1 |        3 |    38782 |
| 1410 | 6920907808612 |          2 |        99 | 2022-07-03 |     1 |        3 |    22204 |
| 1413 | 6920907819045 |          1 |       101 | 2022-07-03 |     1 |        3 |    16101 |
| 1416 | 6931286065268 |          2 |        70 | 2022-07-03 |     1 |        3 |    35655 |
| 1417 | 6932066906948 |          1 |        92 | 2022-07-03 |     1 |        3 |    40573 |
| 1418 | 4712782568109 |          1 |       107 | 2022-07-03 |     1 |        3 |    15887 |
| 1419 | 8000380005925 |          1 |        98 | 2022-07-03 |     1 |        3 |    26165 |
| 1420 | 5410126006049 |         10 |        98 | 2022-07-03 |     1 |        3 |    21512 |
| 1421 | 6917878063041 |          2 |       114 | 2022-07-03 |     1 |        3 |    38495 |
| 1438 | 6972844730136 |          3 |       155 | 2022-07-05 |     1 |        3 |    24953 |
| 1440 | 5411223100197 |          1 |       105 | 2022-07-05 |     1 |        3 |    24734 |
| 1441 | 6971284201220 |          3 |        75 | 2022-07-05 |     1 |        3 |    40990 |
| 1449 | 9415007301578 |          2 |        87 | 2022-07-06 |     1 |        3 |    26192 |
| 1450 | 6942032700098 |          2 |        58 | 2022-07-06 |     1 |        1 |    11538 |
| 1453 | 6916196423858 |         11 |        92 | 2022-07-08 |     1 |        3 |    16839 |
| 1456 | 6926104922311 |          2 |        75 | 2022-07-25 |     1 |        1 |    24822 |
| 1458 | 6956511902323 |          2 |        52 | 2022-07-25 |     1 |        1 |     8755 |
| 1457 | 6959479300323 |          4 |        34 | 2022-07-25 |     1 |        1 |     6859 |
| 1455 | 6926104922304 |          2 |        38 | 2022-07-25 |     1 |        1 |    25959 |
| 1460 | 6936072100550 |          1 |        82 | 2022-07-27 |     1 |        3 |    43224 |
| 1462 | 6953601800323 |          1 |        60 | 2022-08-04 |     1 |        3 |    42644 |
| 1463 | 6924743919792 |          2 |        50 | 2022-08-05 |     1 |        3 |    22289 |
| 1464 | 8888077109909 |          2 |        84 | 2022-08-05 |     1 |        3 |    40794 |
| 1465 | 9556439881549 |          1 |        79 | 2022-08-05 |     1 |        3 |    42172 |
| 1466 | 6914973608306 |         12 |        75 | 2022-08-05 |     1 |        3 |    43131 |
| 1467 | 6956511902323 |          2 |        32 | 2022-08-05 |     1 |        3 |    22231 |
| 1468 | 6948939612427 |          1 |       100 | 2022-08-05 |     1 |        3 |    42662 |
| 1469 | 6901721497053 |          4 |       120 | 2022-08-06 |     1 |        3 |    16016 |
| 1472 | 6923790712462 |          1 |        98 | 2022-08-08 |     1 |        1 |     5260 |
| 1473 | 6932028407018 |          1 |        88 | 2022-08-14 |     1 |        3 |    24690 |
| 1474 | 6907992519784 |          5 |        52 | 2022-08-14 |     1 |        3 |    40241 |
| 1475 | 6907992514949 |          3 |        58 | 2022-08-14 |     1 |        3 |    17249 |
| 1476 | 6907992507095 |          4 |        74 | 2022-08-14 |     1 |        3 |    17339 |
+------+---------------+------------+-----------+------------+-------+----------+----------+

create table if not exists
